data,regiao,estado,categoria,vendedor,receita,qtd_itens,meta
2023-01-01,Nordeste,MA,Eletrônicos,Bruno Costa,192.87,4,261.23
2023-01-01,Norte,TO,Alimentos & Bebidas,Helena Martins,22.56,4,17.55
2023-01-01,Sul,RS,Casa & Jardim,Carlos Lima,767.86,1,839.05
2023-01-01,Nordeste,BA,Casa & Jardim,Fernanda Alves,138.11,4,146.65
2023-01-01,Norte,AM,Eletrônicos,Helena Martins,2444.22,4,2921.83
2023-01-01,Sudeste,MG,Eletrônicos,Gustavo Pereira,1199.36,5,1826.9
2023-01-01,Sul,PR,Roupas & Calçados,Helena Martins,86.82,5,112.9
2023-01-01,Sudeste,SP,Eletrônicos,Eduardo Rocha,2021.63,3,3002.4
2023-01-01,Nordeste,PE,Eletrônicos,Carlos Lima,1704.7,6,2183.59
2023-01-01,Centro-Oeste,GO,Alimentos & Bebidas,Bruno Costa,65.5,4,63.51
2023-01-01,Sudeste,SP,Casa & Jardim,Diana Santos,775.87,1,1022.54
2023-01-01,Sudeste,SP,Roupas & Calçados,Gustavo Pereira,156.94,4,200.77
2023-01-02,Sudeste,RJ,Eletrônicos,Fernanda Alves,253.12,4,402.31
2023-01-02,Centro-Oeste,GO,Esportes & Lazer,Diana Santos,347.81,6,349.13
2023-01-02,Sudeste,RJ,Roupas & Calçados,Carlos Lima,453.32,6,630.31
2023-01-02,Sudeste,SP,Casa & Jardim,Ana Silva,408.94,3,501.99
2023-01-02,Sudeste,SP,Casa & Jardim,Eduardo Rocha,69.21,5,88.05
2023-01-02,Sul,SC,Casa & Jardim,Helena Martins,256.23,4,282.34
2023-01-02,Sudeste,RJ,Esportes & Lazer,Gustavo Pereira,1083.4,2,1458.48
2023-01-03,Sudeste,MG,Alimentos & Bebidas,Gustavo Pereira,113.55,6,121.99
2023-01-04,Sul,RS,Esportes & Lazer,Fernanda Alves,1134.74,6,1407.15
2023-01-04,Sudeste,ES,Roupas & Calçados,Gustavo Pereira,286.76,6,369.78
2023-01-04,Sudeste,RJ,Eletrônicos,Fernanda Alves,3344.1,2,5449.42
2023-01-04,Nordeste,PE,Alimentos & Bebidas,Diana Santos,88.4,6,89.62
2023-01-04,Sudeste,RJ,Alimentos & Bebidas,Gustavo Pereira,118.26,3,127.47
2023-01-04,Sudeste,MG,Casa & Jardim,Ana Silva,152.67,2,206.01
2023-01-04,Nordeste,MA,Roupas & Calçados,Gustavo Pereira,44.14,6,52.98
2023-01-05,Sudeste,MG,Esportes & Lazer,Helena Martins,890.94,1,1166.32
2023-01-05,Sul,SC,Roupas & Calçados,Diana Santos,487.8,3,549.35
2023-01-05,Nordeste,PE,Casa & Jardim,Diana Santos,338.25,6,374.23
2023-01-05,Centro-Oeste,MT,Eletrônicos,Gustavo Pereira,1753.65,6,2228.1
2023-01-05,Norte,TO,Roupas & Calçados,Gustavo Pereira,256.11,4,264.93
2023-01-05,Sul,RS,Eletrônicos,Ana Silva,2076.78,3,2888.22
2023-01-05,Sudeste,MG,Eletrônicos,Bruno Costa,330.48,5,473.23
2023-01-05,Sudeste,SP,Casa & Jardim,Diana Santos,785.1,3,979.77
2023-01-05,Norte,RO,Eletrônicos,Diana Santos,1710.87,5,1719.97
2023-01-06,Sudeste,ES,Alimentos & Bebidas,Eduardo Rocha,62.68,2,75.45
2023-01-06,Sudeste,MG,Alimentos & Bebidas,Helena Martins,205.47,4,228.89
2023-01-06,Sudeste,MG,Eletrônicos,Bruno Costa,2830.63,1,4367.58
2023-01-06,Centro-Oeste,GO,Casa & Jardim,Gustavo Pereira,371.9,3,343.18
2023-01-06,Sudeste,ES,Alimentos & Bebidas,Diana Santos,40.84,6,48.22
2023-01-06,Centro-Oeste,GO,Esportes & Lazer,Diana Santos,467.68,4,460.67
2023-01-06,Sudeste,MG,Roupas & Calçados,Bruno Costa,273.16,3,350.42
2023-01-06,Sul,PR,Roupas & Calçados,Ana Silva,436.86,4,577.57
2023-01-06,Sudeste,ES,Eletrônicos,Fernanda Alves,668.65,6,1070.48
2023-01-06,Sul,RS,Alimentos & Bebidas,Helena Martins,106.43,1,103.82
2023-01-07,Centro-Oeste,MT,Esportes & Lazer,Bruno Costa,622.38,5,747.52
2023-01-07,Sudeste,ES,Esportes & Lazer,Bruno Costa,287.14,5,358.3
2023-01-07,Sul,RS,Roupas & Calçados,Fernanda Alves,364.83,4,439.33
2023-01-07,Sudeste,ES,Roupas & Calçados,Ana Silva,54.02,5,71.33
2023-01-07,Centro-Oeste,MS,Alimentos & Bebidas,Diana Santos,92.8,5,88.3
2023-01-07,Sul,RS,Casa & Jardim,Carlos Lima,661.43,3,754.28
2023-01-07,Sudeste,RJ,Casa & Jardim,Diana Santos,119.72,1,136.06
